,seasonal_naive_daily,seasonal_naive_weekly,sarimax,feature_model,foundation_model
1,37.619047619047606,40.11904761904761,17.860996847388158,22.69557498750232,22.836227598644427
2,64.4047619047619,45.1190476190476,48.44033453898347,39.99907375517345,35.42900158110118
3,36.07142857142857,30.11904761904762,32.463122147150486,21.05399386088053,19.325455529349192
4,10.95238095238095,11.309523809523814,17.46093610625977,10.734758195422945,9.109860556466241
5,21.785714285714285,14.285714285714281,20.645287781003386,15.766911370413647,11.910294305710565
6,4.64285714285714,4.285714285714287,11.094790747084318,3.443542389642624,3.666942959740049
7,3.452380952380952,3.690476190476194,10.337713822384904,2.8864098503476128,2.7653920309884223
8,6.071428571428574,5.000000000000002,10.616979758135866,5.60146422613235,4.5778856731596465
9,5.47619047619048,4.523809523809523,8.906490367707795,4.570674078805106,3.7955924442836215
10,4.642857142857145,2.9761904761904767,9.301039163420006,4.839975992838542,3.1664482298351477
11,11.428571428571432,9.642857142857142,12.267470334287916,10.164150056384864,7.335627419607983
12,12.857142857142858,14.523809523809524,11.243685636074831,26.508237838745117,6.040487743559339
13,32.023809523809526,34.88095238095238,27.39388463024707,30.16221836635044,20.126484462193076
14,52.738095238095234,52.02380952380952,40.666285607482685,35.97051075526646,30.822946094331286
15,67.26190476190477,56.42857142857143,63.196357360003965,61.47621209280832,53.00500124976748
16,83.21428571428571,70.35714285714286,74.90665412106387,62.926258632114944,64.14987455095563
17,104.8809523809524,113.09523809523809,91.65407833744668,91.83792350405739,88.39088503519693
18,81.9047619047619,72.97619047619047,53.96274544161037,57.02984146844773,54.91146478198823
19,106.90476190476191,88.80952380952382,64.66150777437197,70.83205704461962,66.4602168855213
20,72.14285714285714,50.476190476190474,38.77402988150826,39.80935932341076,39.20867520286923
21,72.97619047619048,50.59523809523811,42.773221135360025,39.75840205237979,44.354353768484934
22,93.09523809523809,93.69047619047619,63.50088945763308,88.64954648699079,65.4470712570917
23,108.45238095238096,90.83333333333333,79.77454298809384,77.14313052949451,79.59189151582264
24,64.40476190476191,83.21428571428571,62.112942341228816,56.997208549862826,51.26248477754139
